Energy [keV],Counts
5.6,0
5.616,0
5.632,0
5.648,0
5.664,0
5.68,0
5.696,0
5.712,0
5.728,0
5.744,0
5.76,0
5.776,0
5.792,0
5.808,0
5.824,0
5.84,0
5.856,0
5.872,0
5.888,0
5.904,0
5.92,0
5.936,0
5.952,0
5.968,0
5.984,0
6,0
6.016,0
6.032,0
6.048,0
6.064,0
6.08,0
6.096,0
6.112,0
6.128,0
6.144,0
6.16,0
6.176,0
6.192,0
6.208,0
6.224,0
6.24,0
6.256,0
6.272,0
6.288,0
6.304,0
6.32,0
6.336,0
6.352,0
6.368,0
6.384,0
6.4,0
6.416,0
6.432,0
6.448,0
6.464,0
6.48,0
6.496,0
6.512,0
6.528,0
6.544,0
6.56,0
6.576,0
6.592,0
6.608,0
6.624,0
6.64,0
6.656,0
6.672,0
6.688,0
6.704,0
6.72,0
6.736,0
6.752,0
6.768,0
6.784,0
6.8,0
6.816,0
6.832,0
6.848,0
6.864,0
6.88,0
6.896,0
6.912,0
6.928,0
6.944,0
6.96,0
6.976,0
6.992,0
7.008,0
7.024,0
7.04,0
7.056,0
7.072,0
7.088,0
7.104,0
7.12,0
7.136,0
7.152,0
7.168,0
7.184,0
7.2,0
7.216,0
7.232,0
7.248,0
7.264,0
7.28,0
7.296,0
7.312,0
7.328,0
7.344,0
7.36,0
7.376,0
7.392,0
7.408,0
7.424,0
7.44,0
7.456,0
7.472,0
7.488,0
7.504,0
7.52,0
7.536,0
7.552,0
7.568,0
7.584,0
7.6,0
7.616,0
7.632,0
7.648,0
7.664,0
7.68,1
7.696,1
7.712,0
7.728,1
7.744,3
7.76,2
7.776,2
7.792,2
7.808,6
7.824,4
7.84,4
7.856,11
7.872,8
7.888,11
7.904,15
7.92,21
7.936,23
7.952,16
7.968,25
7.984,38
8,30
8.016,28
8.032,33
8.048,35
8.064,24
8.08,22
8.096,13
8.112,16
8.128,9
8.144,17
8.16,11
8.176,6
8.192,6
8.208,3
8.224,5
8.24,2
8.256,3
8.272,0
8.288,0
8.304,0
8.32,0
8.336,1
8.352,0
8.368,0
8.384,0
8.4,0
8.416,0
8.432,0
8.448,0
8.464,0
8.48,0
8.496,0
8.512,0
8.528,0
8.544,0
8.56,0
8.576,0
8.592,0
8.608,0
8.624,0
8.64,0
8.656,1
8.672,2
8.688,1
8.704,1
8.72,1
8.736,2
8.752,1
8.768,5
8.784,1
8.8,2
8.816,3
8.832,1
8.848,1
8.864,7
8.88,2
8.896,10
8.912,3
8.928,2
8.944,3
8.96,2
8.976,2
8.992,3
9.008,3
9.024,0
9.04,0
9.056,0
9.072,0
9.088,0
9.104,0
9.12,0
9.136,0
9.152,0
9.168,0
9.184,0
9.2,0
9.216,0
9.232,0
9.248,0
9.264,0
9.28,0
9.296,0
9.312,0
9.328,0
9.344,0
9.36,0
9.376,0
9.392,0
9.408,0
9.424,0
9.44,0
9.456,0
9.472,0
9.488,0
9.504,0
9.52,0
9.536,0
9.552,0
9.568,0
9.584,0
9.6,0
9.616,0
9.632,0
9.648,0
9.664,0
9.68,0
9.696,0
9.712,0
9.728,0
9.744,0
9.76,0
9.776,0
9.792,0
9.808,0
9.824,0
9.84,0
9.856,0
9.872,0
9.888,0
9.904,0
9.92,0
9.936,0
9.952,0
9.968,0
9.984,0
10,0
10.016,0
10.032,0
10.048,0
10.064,0
10.08,0
10.096,0
10.112,0
10.128,0
10.144,0
10.16,0
10.176,0
10.192,0
10.208,0
10.224,0
10.24,0
10.256,0
10.272,0
10.288,0
10.304,0
10.32,0
10.336,0
10.352,0
10.368,0
10.384,0
10.4,0
10.416,0
10.432,0
10.448,0
10.464,0
10.48,0
10.496,0
10.512,0
10.528,0
10.544,0
10.56,0
10.576,0
10.592,0
10.608,0
10.624,0
10.64,0
10.656,0
10.672,0
10.688,0
10.704,0
10.72,0
10.736,0
10.752,0
10.768,0
10.784,0
10.8,0
10.816,0
10.832,0
10.848,0
10.864,0
10.88,0
10.896,0
10.912,0
10.928,0
10.944,0
10.96,0
10.976,0
10.992,0
11.008,0
11.024,0
11.04,0
11.056,0
11.072,0
11.088,0
11.104,0
11.12,0
11.136,0
11.152,0
11.168,0
11.184,0
11.2,0
11.216,0
11.232,0
11.248,0
11.264,0
11.28,0
11.296,0
11.312,0
11.328,0
11.344,0
11.36,0
11.376,0
11.392,0
11.408,0
11.424,0
11.44,0
11.456,0
11.472,0
11.488,0
11.504,0
11.52,0
11.536,0
11.552,0
11.568,0
11.584,0
11.6,0
11.616,0
11.632,0
11.648,0
11.664,0
11.68,0
11.696,0
11.712,0
11.728,0
11.744,0
11.76,0
11.776,0
11.792,0
11.808,0
11.824,0
11.84,0
11.856,0
11.872,0
11.888,0
11.904,0
11.92,0
11.936,0
11.952,0
11.968,0
11.984,0
12,0
12.016,0
12.032,0
12.048,0
12.064,0
12.08,0
12.096,0
12.112,0
12.128,0
12.144,0
12.16,0
12.176,0
12.192,0
12.208,0
12.224,0
12.24,0
12.256,0
12.272,0
12.288,0
12.304,0
12.32,0
12.336,0
12.352,0
12.368,0
12.384,0
12.4,0
12.416,0
12.432,0
12.448,0
12.464,0
12.48,0
12.496,0
12.512,0
12.528,0
12.544,0
12.56,0
12.576,0
12.592,0
12.608,0
12.624,0
12.64,0
12.656,0
12.672,0
12.688,0
12.704,0
12.72,0
12.736,0
12.752,0
12.768,0
12.784,0
12.8,0
12.816,0
12.832,0
12.848,0
12.864,0
12.88,0
12.896,0
12.912,0
12.928,0
12.944,0
12.96,0
12.976,0
12.992,0
13.008,0
13.024,0
13.04,0
13.056,0
13.072,0
13.088,0
13.104,0
13.12,0
13.136,0
13.152,0
13.168,0
13.184,0
13.2,0
13.216,0
13.232,0
13.248,0
13.264,0
13.28,0
13.296,0
13.312,0
13.328,0
13.344,0
13.36,0
13.376,0
13.392,0
13.408,0
13.424,0
13.44,0
13.456,0
13.472,0
13.488,0
13.504,0
13.52,0
13.536,0
13.552,0
13.568,0
13.584,0
13.6,0
13.616,0
13.632,0
13.648,0
13.664,0
13.68,0
13.696,0
13.712,0
13.728,0
13.744,0
13.76,0
13.776,0
13.792,0
13.808,0
13.824,0
13.84,0
13.856,0
13.872,0
13.888,0
13.904,0
13.92,0
13.936,0
13.952,0
13.968,0
13.984,0
14,0
14.016,0
14.032,0
14.048,0
14.064,0
14.08,0
14.096,0
14.112,0
14.128,0
14.144,0
14.16,0
14.176,0
14.192,0
14.208,0
14.224,0
14.24,0
14.256,0
14.272,0
14.288,0
14.304,0
14.32,0
14.336,0
14.352,0
14.368,0
14.384,0
14.4,0
14.416,0
14.432,0
14.448,0
14.464,0
14.48,0
14.496,0
14.512,0
14.528,0
14.544,0
14.56,0
14.576,0
14.592,0
14.608,0
14.624,0
14.64,0
14.656,0
14.672,0
14.688,0
14.704,0
14.72,0
14.736,0
14.752,0
14.768,0
14.784,0
14.8,0
14.816,0
14.832,0
14.848,0
14.864,0
14.88,0
14.896,0
14.912,0
14.928,0
14.944,0
14.96,0
14.976,0
14.992,0
15.008,0
15.024,0
15.04,0
15.056,0
15.072,0
15.088,0
15.104,0
15.12,0
15.136,0
15.152,0
15.168,0
15.184,0
15.2,0
15.216,0
15.232,0
15.248,0
15.264,0
15.28,0
15.296,0
15.312,0
15.328,0
15.344,0
15.36,0
15.376,0
15.392,0
15.408,0
15.424,0
15.44,0
15.456,0
15.472,0
15.488,0
15.504,0
15.52,0
15.536,0
15.552,0
15.568,0
15.584,0
15.6,0
15.616,0
15.632,0
15.648,0
15.664,0
15.68,0
15.696,0
15.712,0
15.728,0
15.744,0
15.76,0
15.776,0
15.792,0
15.808,0
15.824,0
15.84,0
15.856,0
15.872,0
15.888,0
15.904,0
15.92,0
15.936,0
15.952,0
15.968,0
15.984,0
16,0
16.016,0
16.032,0
16.048,0
16.064,0
16.08,0
16.096,0
16.112,0
16.128,0
16.144,0
16.16,0
16.176,0
16.192,0
16.208,0
16.224,0
16.24,0
16.256,0
16.272,0
16.288,0
16.304,0
16.32,0
16.336,0
16.352,0
16.368,0
16.384,0
16.4,0
16.416,0
16.432,0
16.448,0
16.464,0
16.48,0
16.496,0
16.512,0
16.528,0
16.544,0
16.56,0
16.576,0
16.592,0
16.608,0
16.624,0
16.64,0
16.656,0
16.672,0
16.688,0
16.704,0
16.72,0
16.736,0
16.752,0
16.768,0
16.784,0
16.8,0
16.816,0
16.832,0
16.848,0
16.864,0
16.88,0
16.896,0
16.912,0
16.928,0
16.944,0
16.96,0
16.976,0
16.992,0
17.008,0
17.024,0
17.04,0
17.056,0
17.072,0
17.088,0
17.104,0
17.12,0
17.136,0
17.152,0
17.168,0
17.184,0
17.2,0
17.216,0
17.232,0
17.248,0
17.264,0
17.28,0
17.296,0
17.312,0
17.328,0
17.344,0
17.36,0
17.376,0
17.392,0
17.408,0
17.424,0
17.44,0
17.456,0
17.472,0
17.488,0
17.504,0
17.52,0
17.536,0
17.552,0
17.568,0
17.584,0
17.6,0
17.616,0
17.632,0
17.648,0
17.664,0
17.68,0
17.696,0
17.712,0
17.728,0
17.744,0
17.76,0
17.776,0
17.792,0
17.808,0
17.824,0
17.84,0
17.856,0
17.872,0
17.888,0
17.904,0
17.92,0
17.936,0
17.952,0
17.968,0
17.984,0
18,0
18.016,0
18.032,0
18.048,0
18.064,0
18.08,0
18.096,0
18.112,0
18.128,0
18.144,0
18.16,0
18.176,0
18.192,0
18.208,0
18.224,0
18.24,0
18.256,0
18.272,0
18.288,0
18.304,0
18.32,0
18.336,0
18.352,0
18.368,0
18.384,0
18.4,0
18.416,0
18.432,0
18.448,0
18.464,0
18.48,0
18.496,0
18.512,0
18.528,0
18.544,0
18.56,0
18.576,0
18.592,0
18.608,0
18.624,0
18.64,0
18.656,0
18.672,0
18.688,0
18.704,0
18.72,0
18.736,0
18.752,0
18.768,0
18.784,0
18.8,0
18.816,0
18.832,0
18.848,0
18.864,0
18.88,0
18.896,0
18.912,0
18.928,0
18.944,0
18.96,0
18.976,0
18.992,0
19.008,0
19.024,0
19.04,0
19.056,0
19.072,0
19.088,0
19.104,0
19.12,0
19.136,0
19.152,0
19.168,0
19.184,0
19.2,0
19.216,0
19.232,0
19.248,0
19.264,0
19.28,0
19.296,0
19.312,0
19.328,0
19.344,0
19.36,0
19.376,0
19.392,0
19.408,0
19.424,0
19.44,0
19.456,0
19.472,0
19.488,0
19.504,0
19.52,0
19.536,0
19.552,0
19.568,0
19.584,0
19.6,0
19.616,0
19.632,0
19.648,0
19.664,0
19.68,0
19.696,0
19.712,0
19.728,0
19.744,0
19.76,0
19.776,0
19.792,0
19.808,0
19.824,0
19.84,0
19.856,0
19.872,0
19.888,0
19.904,0
19.92,0
19.936,0
19.952,0
19.968,0
19.984,0
